ITEM_NUMBER,DESCRIPTION
845696,ORBIT GUM MNT VAR
4601100,PUR GUM PEPPERMINT
4601101,PUR GUM SPEARMINT
1187825,TRDNT BUBBLE GUM 15/14PC
1187827,TRDNT CINNAMON 15/14PC
1187833,TRDNT MINT BLISS 15/14PC
1177402,TRDNT MINTY TWIST 12/14PC
1187811,TRDNT PEPMINT 15CT/14PC
1187818,TRDNT SPRMNT 15CT/14PC
1187820,TRDNT TROP TWIST 15CT/14P
1187822,TRDNT WATERMLN 15CT/14PC
776673,TRDNT WHT PPMNT 12CT/16PC
653336,TRDNT WHT WNTGRN 9CT/16PC
1177401,TRDNT WINTERGRN 12CT/14PC
868321,"WRIG ""5"" ASCENT 10/15P"
218771,"WRIG ""5"" COBALT SP 10/15P"
218844,"WRIG ""5"" RAIN SPMT 10/15P"
276110,XTRA PLR ICE SLMPK 10/15P
1984172,XTRA PLR MEGAPK 6CT/35PC
341781,XTRA PPRMNT SLMPK 10/15PC
1984191,XTRA SPRMNT MEGA 6CT/35PC
276098,XTRA SPRMNT SLMPK 10/15PC
341960,XTRA WNTRFR SLMPK 10/15PC
316175,XTRA WTRMLN SLMPK 10/15P
62771,HALLS CHRRY COUGH DR 20CT
435588,HALLS HONEY-LEMON 20 CT
6313,HALLS MENTHLPTUS 20 CT
144758,HAMPTON SALTED PEANUTS 5#
35921,HAMPTON U/S PEANUTS 5#
4106,HOODY INSHL PNUT 5LB SLTD
4007,HOODY PEANUTS UNSLTD 5LB
545345,KS PISTACHIOS 3LBS
1792518,KS UNSLTD PISTACHIOS 3LBS
707964,SACHS INSHELL SLTD PNUTS
717064,SACHS INSHL UNSLT PNTS 5#
864917,WNDRFL PIST SALT/PEPR 3LB
1297885,BOILED PEANUTS CAJUN 12CT
1297887,BOILED PEANUTS ORIG 12CT
1125010,CAJUN BOILED PEANUTS 6LBS
1124944,GRN BOILED PEANUTS 6LBS
1473008,KS BL CASHEWS 38 OZ.WS
1510336,KS BTR TOFFEE CASHEW 24OZ
1390413,KS CASHEWS POUCH 40OZ
1645578,KS EXTRA FANCY MIXED NUTS
1195303,KS MACADAMIA NUT 24Z 680G
1617506,KS ORG U/S CASHEW BAG 40Z
941275,KS ORGANIC PINE NUTS 24OZ
1076903,KS PISTACHIO KERNELS 24OZ
1713786,KS ROASTED ALMONDS 40OZ
222490,KS SUPER XL PEANUTS 40Z
1617507,KS UNS CASHEWS POUCH 40Z
1652577,KS UNSLTD FNCY MX NUT 40Z
1491866,ORG SPROUT PMPKN SEED 22Z
2826,PLNTRS DRY RST PNUT 52 OZ
569051,WNDRFUL PSTACHIO KRNL 24Z
1945056,CORNNUTSVP ORG/RANCH/CP
616,D+S SFLWR SEED 24CT/1.75Z
1694609,JAPANESE PNUTS 12CT/200G
411389,KARS SWEET N SALTY SNACK
631693,KARS VRTY NUT/FRUIT 18CT
1473917,KS TRAIL MIX VEND 28/2 OZ
957330,KS VRTY SNACK NUT 30/1.6Z
1974737,LIGHTLY SALTED ALMONDS
1918185,NG LMN BRRY YOGGIE TRL MX
1123591,NG ORGNC TRAIL MX 24/1.2Z
1619426,PARM CRISPS SNACK MIX VEN
7791,PLNTR SLTD PEANUTS 48/1Z
664570,PLNTRS TUBE NUT VTY 24PK
1200643,POWER UP VARIETY 24PK
1210495,SECOND NATURE MDLY 16
5656,SKEHOUSE ALMOND 8/12-1.5Z
529087,SPITZ CRKD PEPPER 12CT/6Z
515965,SPITZ DILL PICKLE 12CT/6Z
501690,WNDRFUL PISTACHIO 24/1.5Z
1619064,WONDERFUL PISTACHIO VTY
1495140,ALMONDS 5 LB
1386722,CA SLICED ALMONDS 2LBS
1135713,KS ORGANIC ALMONDS 1.7LBS
1250774,KS ORGANIC PECANS  1.7LB
203444,KS PECAN HALVES 2LB 907G
36285,KS WALNUTS 3 LBS 1.36KG
284601,KS WHOLE ALMONDS 3 LBS
1495134,PECAN PIECES     5 LB
1495072,SLICED ALMONDS 5 LB
1495144,WALNUT PIECES 5 LB
881987,ORG PISTACHIOS #2 14/2#
